,Water Users,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,Anderson-Cottonwood Irrigation District,0,0,0,"7,416","17,645","14,526","15,360","14,986","13,243",0,0,0,"83,176"
1,"Andreotti, Arnold, et al",0,0,0,0,462,436,397,342,0,0,0,0,"1,637"
2,"Baber, Jack, et al",0,0,0,64,427,954,703,401,0,0,0,0,"2,549"
3,Carter Mutual Water Company,0,0,0,0,756,847,486,602,0,109,0,0,"2,800"
4,"Conaway Preservation Group, LLC",0,0,0,0,"1,833",438,"3,699",429,"1,119","2,914",0,0,"10,432"
5,Eastside Mutual Water Company,0,0,0,323,170,290,175,175,0,0,0,0,"1,133"
6,"Forry, Laurie",0,0,0,75,85,117,94,91,53,0,0,0,515
7,Furlan Joint Venture (Area 1),0,0,0,7,111,98,92,21,0,0,0,0,329
8,Furlan Joint Venture (Area 2),0,0,0,0,0,0,0,0,0,0,0,0,0
9,Glenn-Colusa Irrigation District,0,0,0,"14,848","127,415","133,617","132,052","97,589","26,542","17,481",0,0,"549,544"
10,Green Valley Corporation,0,0,0,0,81,11,99,134,24,0,0,0,349
11,Griffin & Prater Tenancy-in-Common,0,0,0,0,276,334,210,324,32,42,0,0,"1,218"
12,Henle Family Limited Partnership,0,0,0,18,247,171,152,72,0,0,0,0,660
13,Hiatt Family Trust,0,0,0,0,147,158,167,100,90,0,0,0,662
14,Hiatt Family Trust/Illerich Family Trust,0,0,0,0,161,94,86,82,0,0,0,0,423
15,"Howald Farms, Inc.",0,0,0,132,283,333,325,181,0,38,0,0,"1,292"
16,Yolo Land Trust,0,0,0,0,0,72,4,61,36,0,0,0,173
17,Lomo Cold Storage,0,0,0,0,493,"1,327","1,293","1,117",307,0,0,0,"4,537"
18,"M & T, Inc.",0,0,0,54,"1,396","1,910","1,724","1,287","1,161",900,0,0,"8,432"
19,Maxwell Irrigation District,0,0,0,0,0,0,0,0,0,"2,865",0,0,"2,865"
20,"MCM Properties, Inc.",0,0,0,0,70,104,85,43,0,0,0,0,302
21,Meridian Farms Water Company,0,0,0,672,"4,348","5,208","5,297","4,001","1,147",0,0,0,"20,673"
22,Natomas Central Mutual Water Company,0,0,0,636,"19,511","16,659","20,362","12,618",842,"2,720",0,0,"73,348"
23,"O'Brien, Janice",0,0,0,5,51,200,123,0,0,0,0,0,379
24,"Oji Brothers Farm, Inc.",0,0,0,19,309,524,438,194,0,0,0,0,"1,484"
25,"Oji, Mitsue, Family Partnership",0,0,0,59,668,646,528,124,0,0,0,0,"2,025"
26,Pelger Mutual Water Company,0,0,0,0,917,"1,008",350,274,15,0,0,0,"2,564"
27,Pleasant Grove-Verona MWC,0,0,0,48,991,218,"1,466",658,28,0,0,0,"3,409"
28,Princeton-Codora-Glenn Irrigation District,0,0,0,352,"10,507","7,807","9,939","8,645","1,503","2,425",0,0,"41,178"
29,Provident Irrigation District,0,0,0,350,"6,300","5,202","6,176","2,077",0,"7,742",0,0,"27,847"
30,"Rauf, Abdul & Tahmina",0,0,0,5,274,430,257,141,96,0,0,0,"1,203"
31,Reclamation District #1004,0,0,0,669,"6,758","7,177","8,924","4,203","1,210","11,125",0,0,"40,066"
32,Reclamation District #108,0,0,0,"2,220","31,295","27,463","30,223","19,727","6,343","5,063",0,0,"122,334"
33,Cranmore Farms (Reynen),0,0,0,354,899,"1,437","1,272",471,387,"1,052",0,0,"5,872"
34,"Richter Brothers, et al",0,0,0,47,404,400,287,111,0,0,0,0,"1,249"
35,River Garden Farms,0,0,0,223,"3,243","3,172","2,921","2,654",421,0,0,0,"12,634"
36,Robert's Ditch Irrigation Company,0,0,0,103,88,24,0,0,0,0,0,0,215
37,"Sacramento River Ranch, LLC",0,0,0,85,322,168,420,232,232,0,0,0,"1,459"
38,Sutter Mutual Water Company,0,0,0,"6,048","30,749","32,065","37,828","27,620","5,114","7,729",0,0,"147,153"
39,Sycamore Family Trust,0,0,0,184,"3,422","3,671","4,863","3,448",735,430,0,0,"16,753"
40,"Tarke, Stephen",0,0,0,0,16,24,83,93,82,0,0,0,298
41,Tisdale Irrigation and Drainage Company,0,0,0,59,"1,107","1,163","1,481","1,247",400,0,0,0,"5,457"
42,"Knights Landing Investors, LLC",0,0,0,0,200,98,522,490,364,0,0,0,"1,674"
43,"Otterson, Mike",0,0,0,17,145,157,55,57,0,0,0,0,431
44,Wilson Ranch Partnership,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Windswept Land & Livestock,0,0,0,10,211,197,302,225,160,0,0,0,"1,105"
46,Total,0,0,0,"35,102","274,793","270,955","291,320","207,347","61,686","62,635",0,0,"1,203,838"
