,Water Users,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,Anderson-Cottonwood Irrigation District,0,0,0,"12,524","18,086","16,712","17,179","17,310","15,837","5,456",0,0,"103,104"
1,"Andreotti, Arnold, et al",0,0,0,93,374,408,428,451,57,0,0,0,"1,811"
2,"Baber, Jack, et al",0,0,0,3,135,233,422,403,112,0,0,0,"1,308"
3,Carter Mutual Water Company,0,0,0,0,988,503,437,388,783,0,0,0,"3,099"
4,"Conaway Preservation Group, LLC",0,0,0,"1,085","11,386","7,260","1,570",767,237,972,0,0,"23,277"
5,Eastside Mutual Water Company,0,0,0,0,449,634,891,808,135,0,0,0,"2,917"
6,"Forry, Laurie",0,0,0,0,234,189,460,461,283,0,0,0,"1,627"
7,Furlan Joint Venture (Area 1),0,0,0,33,46,121,137,42,0,0,0,0,379
8,Furlan Joint Venture (Area 2),0,0,0,0,0,0,0,0,0,0,0,0,0
9,Glenn-Colusa Irrigation District,0,0,0,"48,662","140,830","147,284","174,268","121,687","22,361","44,056",0,0,"699,148"
10,Green Valley Corporation,0,0,0,0,12,128,124,181,0,0,0,0,445
11,Griffin & Prater Tenancy-in-Common,0,0,0,9,431,471,298,215,15,0,0,0,"1,439"
12,Henle Family Limited Partnership,0,0,0,0,71,125,137,83,0,0,0,0,416
13,Van Ruiten Bros.,0,0,0,0,49,159,102,47,0,0,0,0,357
14,Hiatt Family Trust/Illerich Family Trust,0,0,0,32,73,101,150,64,55,0,0,0,475
15,"Howald Farms, Inc.",0,0,0,219,384,502,505,137,0,0,0,0,"1,747"
16,Yolo Land Trust,0,0,0,0,33,69,10,77,101,29,0,0,319
17,Lomo Cold Storage,0,0,0,152,379,"1,305",246,242,0,0,0,0,"2,324"
18,"M & T, Inc.",0,0,0,208,543,613,155,281,130,192,0,0,"2,122"
19,Maxwell Irrigation District,0,0,0,51,0,0,0,0,0,0,0,0,51
20,"MCM Properties, Inc.",0,0,0,24,73,182,96,137,34,0,0,0,546
21,Meridian Farms Water Company,0,0,0,"2,691","5,138","5,229","5,932","5,731","1,639",373,0,0,"26,733"
22,Natomas Central Mutual Water Company,0,0,0,768,"19,347","15,337","21,118","13,582","1,806",793,0,0,"72,751"
23,"O'Brien, Janice",0,0,0,52,6,0,182,22,0,0,0,0,262
24,"Oji Brothers Farm, Inc.",0,0,0,87,504,570,723,413,0,0,0,0,"2,297"
25,"Oji, Mitsue, Family Partnership",0,0,0,182,769,388,"1,032",742,0,0,0,0,"3,113"
26,Pelger Mutual Water Company,0,0,0,91,"1,223","1,463",938,"1,071",233,0,0,0,"5,019"
27,Pleasant Grove-Verona MWC,0,0,0,79,"3,341","2,737","3,455","3,115","1,112",0,0,0,"13,839"
28,Princeton-Codora-Glenn Irrigation District,0,0,0,"5,124","12,220","11,473","10,807","6,982","1,464","4,098",0,0,"52,168"
29,Provident Irrigation District,0,0,0,"5,094","9,041","8,866","6,884","3,109",177,"4,621",0,0,"37,792"
30,"Rauf, Abdul & Tahmina",0,0,0,102,85,167,190,35,40,0,0,0,619
31,Reclamation District #1004,0,0,0,"2,039","8,348","10,367","11,593","7,745","1,660","8,971",0,0,"50,723"
32,Reclamation District #108,0,0,0,"6,790","35,697","35,327","40,024","25,094","4,858","7,031",0,0,"154,821"
33,Pelger Road 1700 LLC (Cranmore Farms),0,0,0,472,"1,432","1,228","1,119","1,096",92,440,0,0,"5,879"
34,"Richter Brothers, et al",0,0,0,55,466,529,447,142,0,0,0,0,"1,639"
35,River Garden Farms,0,0,0,"1,284","4,645","3,868","4,211","3,593",593,0,0,0,"18,194"
36,Robert's Ditch Irrigation Company,0,0,0,11,0,9,3,0,12,0,0,0,35
37,Te Velde Family Trust,0,0,0,0,0,175,175,175,0,0,0,0,525
38,Sutter Mutual Water Company,0,0,0,"12,128","31,848","37,314","42,018","31,432","6,174","8,569",0,0,"169,483"
39,Sycamore Family Trust,0,0,0,"1,692","6,125","6,117","5,717","4,533",831,0,0,0,"25,015"
40,"Tarke, Stephen",0,0,0,80,232,193,131,149,43,0,0,0,828
41,Tisdale Irrigation and Drainage Company,0,0,0,236,"1,634","1,784","1,848","1,866",398,192,0,0,"7,958"
42,"Knights Landing Investors, LLC",0,0,0,51,369,121,381,205,30,0,0,0,"1,157"
43,"Otterson, Mike",0,0,0,0,109,82,220,146,0,0,0,0,557
44,Wilson Ranch Partnership,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Windswept Land & Livestock,0,0,0,35,131,172,175,218,100,0,0,0,831
46,Woodland-Davis Clean Water Agency,0,0,0,0,0,"1,853","4,241","1,948","1,311",647,0,0,"10,000"
47,Total,0,0,0,"102,238","317,286","322,368","361,179","256,925","62,713","86,440",0,0,"1,509,149"
